w1,"x1","x2","278.15","283.15","288.15","293.15","298.15","303.15","308.15","313.15","318.15"
0,"0","1","0.008925587","0.011052848","0.013400704","0.016452748","0.019703192","0.023839706","0.028298644","0.033774006","0.038999061"
0.1,"0.009909312","0.990090688","0.009485273","0.011707131","0.014075897","0.017341662","0.020862395","0.024804836","0.029299932","0.034994417","0.04132762"
0.2,"0.022023158","0.977976842","0.009749873","0.012063687","0.014489083","0.017823525","0.021225751","0.025073218","0.029820318","0.035776754","0.041291275"
0.3,"0.037169282","0.962830718","0.010655248","0.012985848","0.015422541","0.0188046","0.022305053","0.026646528","0.031636177","0.037194905","0.042628011"
0.4,"0.056649102","0.943350898","0.011638995","0.014070785","0.016598043","0.020038758","0.023377928","0.027812339","0.03280752","0.038446618","0.043702958"
0.5,"0.082633107","0.917366893","0.012556381","0.015022894","0.017967394","0.021351548","0.024800583","0.028971968","0.03368044","0.039661867","0.044778559"
0.6,"0.119031682","0.880968318","0.013163166","0.016182625","0.01890424","0.022648486","0.026295245","0.03096705","0.035759863","0.042115404","0.047083999"
0.7,"0.17367546","0.82632454","0.013591884","0.016642046","0.019463694","0.022751574","0.026637235","0.031708224","0.036826122","0.043069815","0.048974185"
0.8,"0.26487107","0.73512893","0.013746571","0.016730601","0.019720666","0.024000385","0.028488302","0.033576948","0.039289387","0.046608583","0.05295839"
0.9,"0.447723616","0.552276384","0.013116861","0.01662839","0.020402916","0.025756939","0.031116884","0.037668727","0.045672582","0.055051782","0.065636429"
1,"1","0","0.010828055","0.015150035","0.020483572","0.028296676","0.03734685","0.050602255","0.06641329","0.08672051","0.111474162"

