"w1","278.15","283.15","288.15","293.15","298.15","303.15","308.15","313.15","318.15","x1","x2"
"0","0.0034744893030838","0.0046994156377213","0.0064341578974239","0.0087582559006953","0.011371975679321","0.015175906924428","0.019610532862175","0.025688827033975","0.032771186669963","0.000","1"
"0.1","0.0041351599457039","0.005635480185674","0.0076505284868274","0.010016323448793","0.013419693986987","0.017438470199934","0.022677140958412","0.02944961961663","0.038109868488973","0.038","0.96217945818359"
"0.2","0.0049017272696926","0.0065582496090443","0.0088373959120837","0.011825498584125","0.015642985013814","0.020471522100114","0.026564103247299","0.033627547421016","0.043438571609949","0.081","0.91874515857305"
"0.3","0.0057756034693045","0.0078752360811316","0.010590278345737","0.014065568210094","0.018082152251722","0.023677765832405","0.0305503261736","0.039366164004911","0.05053675466131","0.132","0.86834701634675"
"0.4","0.0067681793649336","0.0092907163393141","0.012284524921888","0.016599689146712","0.021238651920961","0.027653662908157","0.035239285139435","0.044884929323543","0.058350313942562","0.191","0.80916429744439"
"0.5","0.0082115973908645","0.010838685430259","0.014381566130651","0.019189304059119","0.024999809928178","0.032453567534348","0.04085942915411","0.051327000558353","0.067012399484891","0.261","0.73868094855356"
"0.6","0.0095060737141401","0.012839664221695","0.017282628680084","0.02256126814479","0.028850299452529","0.03772109374841","0.047857159213627","0.060325614374663","0.075074425766411","0.347","0.65331864433819"
"0.7","0.011551125749986","0.015361143163685","0.020077689141293","0.02627869733935","0.033605151386451","0.043092812228708","0.054908629959475","0.070075833126617","0.086158430894878","0.452","0.54781002159782"
"0.8","0.013445511118804","0.017628638960184","0.023766653471461","0.030989292114447","0.038840910517468","0.05066432230598","0.064171735812842","0.07976524458825","0.10136445207544","0.586","0.41406877219936"
"0.9","0.016159642050255","0.02163063319491","0.027730108622045","0.035826739828789","0.04594503906261","0.057556274923566","0.074460798138109","0.091857039389336","0.11567661369149","0.761","0.23901259392587"
"1","0.019426099111581","0.025137575480893","0.03279406419056","0.041766847314979","0.054638537810591","0.068106959994954","0.086796296253582","0.10792232479862","0.13236954040429","1.000","0"
