"w1","x1","x2","278.15","283.15","288.15","293.15","298.15","303.15","308.15","313.15","318.15"
"0","0","1","0.0004606541636","0.0005354283237","0.0006231157351","0.0007666","0.00087","0.0010362","0.0011708","0.001353","0.001493406861"
"0.05","0.039458614","0.960541386","0.00054147401","0.0006609882338","0.0007989026872","0.001009882924","0.001159526014","0.001403635728","0.001679888137","0.001972982729","0.002250286823"
"0.1","0.079802735","0.920197265","0.0007000169799","0.0008591226511","0.00106030509","0.00131076856","0.001595576938","0.001918559383","0.002296143253","0.002733571435","0.003204831206"
"0.15","0.121062509","0.878937491","0.000852649243","0.001065876319","0.001332348161","0.001698660878","0.002032216354","0.002510726094","0.003004716754","0.00361811467","0.004545531729"
"0.2","0.163269466","0.836730534","0.001025135794","0.001273895903","0.001598316266","0.002041279255","0.002459097495","0.003061568231","0.003631251909","0.004428613074","0.005698399503"
"0.25","0.206456602","0.793543398","0.001208896461","0.001549912571","0.00197801084","0.002455272322","0.002918421042","0.003706250294","0.004553740463","0.00550239339","0.006721575813"
"0.3","0.250658461","0.749341539","0.00146082386","0.001845264549","0.002348759069","0.00286775049","0.003537159723","0.004337716542","0.005242611135","0.006505691512","0.007578706002"
"0.35","0.295911232","0.704088768","0.001524722118","0.00190285233","0.002453451141","0.003030533067","0.003687506081","0.004554091504","0.005393811811","0.006702593252","0.007917297723"
"0.4","0.342252844","0.657747156","0.00152792803","0.001929724659","0.00243167866","0.003014631855","0.003679314633","0.004451907961","0.00534005873","0.006608180516","0.007935667139"
"0.45","0.389723074","0.610276926","0.001502595935","0.001918543921","0.002376463618","0.00291612264","0.00360364353","0.004292502855","0.005300276838","0.006485832828","0.007806366808"
"0.5","0.438363661","0.561636339","0.001498545331","0.001864761552","0.002309046712","0.002806379822","0.003471443124","0.004217092531","0.005110174252","0.006342055604","0.007656436478"
"0.55","0.488218427","0.511781573","0.001478276635","0.001832084169","0.00227734946","0.002734832392","0.003393684743","0.004104211546","0.0049631797","0.006064334323","0.007350860439"
"0.6","0.539333408","0.460666592","0.00145842145","0.00180606561","0.002222922198","0.002692044185","0.00329239791","0.004017718824","0.004746141359","0.005887968094","0.007117039273"
"0.65","0.591757001","0.408242999","0.001433203279","0.001773840153","0.002171349357","0.002599299613","0.003209081749","0.003885462982","0.004604603842","0.005666091034","0.006917363702"
"0.7","0.645540109","0.354459891","0.001401333897","0.001746766068","0.002112694654","0.002547965301","0.00309879435","0.003792995612","0.004536524774","0.005504913834","0.006742613592"
"0.75","0.700736313","0.299263687","0.001386599794","0.001714761992","0.002067616061","0.00249566424","0.002947283121","0.003616764285","0.004348434001","0.005378810659","0.006474623868"
"0.8","0.757402045","0.242597955","0.001367628934","0.001676086594","0.001995153819","0.002417502908","0.002804563015","0.003452905183","0.004252128831","0.005195519823","0.006333258984"
"0.85","0.815596784","0.184403216","0.001346926401","0.001635511877","0.001954549579","0.002372574688","0.002711968924","0.003294156877","0.00414280827","0.00505920376","0.006144061593"
"0.9","0.875383261","0.124616739","0.0013298107","0.001616503273","0.001895761755","0.002255764373","0.002656257197","0.003150158491","0.003911880879","0.00488276751","0.006003405203"
"0.95","0.936827688","0.063172312","0.001315528373","0.001569347282","0.001844703084","0.002183915451","0.002520319457","0.003047197513","0.003774372203","0.004652800541","0.005877121471"
"1","1","0","0.0013091979","0.001510498344","0.001740260541","0.002009026986","0.002286077183","0.002714381907","0.003472584447","0.004319281527","0.005718225992"
