"w1","x1","x2","293.15","298.15","303.15","308.15","313.15"
"0","0","1","0.00002221","0.00002814","0.00003669","0.00004333","0.00005551"
"0.1","0.0588","0.9412","0.00003363","0.00004309","0.00005626","0.00006941","0.00008727"
"0.2","0.1232","0.8768","0.00005646","0.00007274","0.00009051","0.00011912","0.00015052"
"0.3","0.1942","0.8058","0.00010074","0.00012244","0.00016222","0.00021702","0.00026764"
"0.4","0.2726","0.7274","0.00018469","0.00022984","0.00030547","0.00040036","0.00050807"
"0.5","0.3199","0.6801","0.00029263","0.00039554","0.00051448","0.00065763","0.00085150"
"0.6","0.4575","0.5425","0.00045910","0.00061770","0.00077568","0.00105169","0.00133152"
"0.7","0.5675","0.4325","0.00070164","0.00092960","0.00124047","0.00157247","0.00205077"
"0.8","0.6922","0.3078","0.00108701","0.00133750","0.00184143","0.00223669","0.00299824"
"0.9","0.835","0.165","0.00139258","0.00177530","0.00231071","0.00277194","0.00360817"
"1","1","0","0.00161325","0.00201469","0.00261645","0.00319851","0.00395251"
